                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.6041,                 1.1487,                  0.967,                0.72894,                0.62595,                0.68292,                0.47506,                 1.5674,                 1.1278,                0.97601,             0.00049835,             0.00049835,             0.00049835
                     80,                 1.6531,                 1.1792,                0.98515,                0.71228,                0.63198,                0.68407,                0.47918,                 1.5781,                 1.1388,                0.97785,             0.00049719,             0.00049719,             0.00049719
                     81,                 1.5696,                 1.1317,                0.96206,                0.74979,                0.64617,                0.70254,                0.49066,                 1.5635,                 1.0843,                0.97165,             0.00049603,             0.00049603,             0.00049603
                     82,                 1.6021,                 1.1485,                0.96488,                0.73683,                0.64348,                0.69849,                 0.4915,                 1.5625,                 1.1011,                0.97592,             0.00049486,             0.00049486,             0.00049486
                     83,                  1.577,                  1.121,                0.96954,                0.76111,                0.64168,                0.69093,                0.48628,                 1.5655,                 1.0936,                0.97607,              0.0004937,              0.0004937,              0.0004937
                     84,                 1.5885,                 1.1323,                0.97102,                0.76042,                0.62725,                0.68791,                0.47307,                 1.5923,                  1.118,                0.98578,             0.00049253,             0.00049253,             0.00049253
                     85,                 1.5814,                   1.12,                0.97004,                0.77607,                0.61554,                0.69451,                0.48052,                 1.5686,                 1.1102,                 0.9771,             0.00049137,             0.00049137,             0.00049137
                     86,                 1.5852,                 1.1183,                0.97259,                0.77504,                0.62914,                0.69615,                0.47049,                 1.6135,                  1.115,                0.98403,              0.0004902,              0.0004902,              0.0004902
                     87,                 1.5799,                 1.1073,                0.96614,                0.78024,                0.63607,                0.70204,                0.48835,                 1.5666,                 1.0748,                0.97398,             0.00048904,             0.00048904,             0.00048904
                     88,                 1.5737,                 1.1125,                0.96433,                0.75736,                0.63135,                0.69097,                0.48929,                 1.5606,                 1.0858,                0.97272,             0.00048788,             0.00048788,             0.00048788
                     89,                 1.5738,                 1.1096,                 0.9624,                0.72109,                0.65401,                0.70157,                0.48336,                 1.5667,                  1.072,                0.97109,             0.00048671,             0.00048671,             0.00048671
                     90,                 1.5507,                  1.087,                0.96187,                0.76896,                0.64755,                0.70396,                0.49487,                 1.5567,                 1.0738,                0.97106,             0.00048555,             0.00048555,             0.00048555
                     91,                 1.5762,                 1.1021,                0.96165,                0.72438,                0.64622,                0.69775,                 0.4867,                 1.5606,                 1.0673,                 0.9742,             0.00048438,             0.00048438,             0.00048438
                     92,                 1.5508,                  1.078,                0.96246,                0.79298,                0.62329,                0.70489,                0.47983,                 1.5778,                 1.0637,                0.97915,             0.00048322,             0.00048322,             0.00048322
                     93,                 1.5594,                 1.0827,                0.96313,                0.77886,                0.63875,                0.70785,                0.49653,                 1.5578,                   1.07,                0.97067,             0.00048205,             0.00048205,             0.00048205
                     94,                 1.5507,                 1.0752,                0.96038,                0.80792,                 0.6356,                0.70612,                0.49666,                 1.5644,                 1.0556,                0.97699,             0.00048089,             0.00048089,             0.00048089
                     95,                 1.5281,                 1.0567,                0.95415,                0.73895,                0.66434,                0.71173,                0.49576,                 1.5552,                 1.0496,                 0.9726,             0.00047973,             0.00047973,             0.00047973
                     96,                 1.5525,                 1.0797,                0.96468,                  0.781,                0.64013,                0.70969,                0.49417,                 1.5472,                 1.0647,                0.96915,             0.00047856,             0.00047856,             0.00047856
                     97,                 1.5556,                 1.0718,                0.95801,                0.77209,                0.64236,                0.70859,                 0.4922,                 1.5716,                 1.0637,                0.97845,              0.0004774,              0.0004774,              0.0004774
                     98,                 1.5551,                 1.0695,                0.96527,                0.77889,                0.65691,                 0.7267,                0.51465,                 1.5337,                  1.048,                0.96516,             0.00047623,             0.00047623,             0.00047623
                     99,                 1.5381,                 1.0576,                0.96026,                 0.7857,                 0.6608,                0.72362,                0.51214,                 1.5407,                 1.0401,                0.96816,             0.00047507,             0.00047507,             0.00047507
                    100,                  1.536,                 1.0484,                0.95896,                0.78544,                0.64227,                 0.7283,                0.51537,                 1.5347,                 1.0368,                0.96661,              0.0004739,              0.0004739,              0.0004739
                    101,                 1.5401,                 1.0676,                0.95638,                0.78364,                0.65832,                0.73012,                0.51141,                  1.552,                 1.0433,                0.96932,             0.00047274,             0.00047274,             0.00047274
                    102,                 1.5526,                 1.0631,                0.96077,                0.81845,                0.64001,                0.72943,                0.51118,                 1.5348,                  1.036,                0.96744,             0.00047158,             0.00047158,             0.00047158
                    103,                 1.5408,                 1.0479,                0.95733,                0.79457,                0.65899,                0.73128,                0.51649,                  1.537,                 1.0342,                0.96696,             0.00047041,             0.00047041,             0.00047041
                    104,                 1.5516,                 1.0537,                0.96148,                0.78001,                0.64915,                0.71984,                0.50944,                 1.5452,                 1.0653,                0.97126,             0.00046925,             0.00046925,             0.00046925
                    105,                 1.5509,                  1.054,                0.95861,                0.79078,                0.65486,                0.72205,                0.50435,                 1.5389,                 1.0389,                0.96752,             0.00046808,             0.00046808,             0.00046808
                    106,                 1.5116,                 1.0387,                0.95493,                 0.8038,                0.66523,                0.73136,                0.51492,                 1.5575,                 1.0405,                0.97015,             0.00046692,             0.00046692,             0.00046692
                    107,                 1.5295,                 1.0428,                0.96118,                 0.8108,                0.66014,                 0.7333,                0.52623,                  1.536,                 1.0064,                0.96851,             0.00046575,             0.00046575,             0.00046575
                    108,                 1.5144,                 1.0302,                0.95349,                0.77466,                0.67968,                0.74473,                0.52975,                 1.5287,                 1.0182,                0.96706,             0.00046459,             0.00046459,             0.00046459
                    109,                 1.5308,                 1.0453,                0.95491,                0.81002,                 0.6677,                0.73849,                0.52512,                  1.532,                 1.0282,                0.96837,             0.00046343,             0.00046343,             0.00046343
                    110,                 1.5349,                 1.0572,                0.95322,                  0.779,                0.66382,                0.73124,                0.51842,                  1.535,                 1.0253,                0.96516,             0.00046226,             0.00046226,             0.00046226
                    111,                 1.5417,                 1.0411,                 0.9523,                0.77339,                 0.6828,                0.74224,                0.52893,                 1.5206,                0.99776,                0.95925,              0.0004611,              0.0004611,              0.0004611
                    112,                 1.5246,                 1.0426,                0.95472,                 0.8184,                0.67601,                0.74654,                0.52384,                 1.5382,                 1.0162,                0.96583,             0.00045993,             0.00045993,             0.00045993
                    113,                 1.5073,                 1.0263,                0.95075,                0.81515,                0.65078,                0.73744,                0.52058,                 1.5351,                 1.0328,                0.96901,             0.00045877,             0.00045877,             0.00045877
                    114,                 1.5248,                 1.0252,                0.95451,                0.82723,                 0.6778,                0.74759,                0.52924,                 1.5444,                 1.0051,                0.96859,             0.00045761,             0.00045761,             0.00045761
                    115,                 1.5162,                 1.0181,                0.95286,                0.79452,                0.67758,                0.73777,                0.52275,                 1.5482,                 1.0205,                0.96624,             0.00045644,             0.00045644,             0.00045644
                    116,                 1.5119,                 1.0253,                0.95362,                0.77782,                0.69052,                0.74435,                 0.5293,                 1.5166,                 1.0142,                0.96147,             0.00045528,             0.00045528,             0.00045528
                    117,                 1.5221,                 1.0112,                0.95073,                0.83073,                0.67708,                0.74898,                0.53538,                 1.5214,                0.98805,                0.95999,             0.00045411,             0.00045411,             0.00045411
                    118,                 1.5089,                 1.0069,                0.94822,                0.83467,                0.67123,                0.75723,                0.54151,                 1.5119,                  1.001,                0.96046,             0.00045295,             0.00045295,             0.00045295
                    119,                 1.4927,                0.99098,                0.95191,                0.79765,                0.68565,                0.74154,                0.52899,                 1.5287,                  1.009,                0.96712,             0.00045178,             0.00045178,             0.00045178
                    120,                 1.4959,                 1.0004,                0.94743,                0.81686,                0.68304,                 0.7528,                0.53442,                 1.5288,                0.99869,                0.96406,             0.00045062,             0.00045062,             0.00045062
                    121,                 1.5066,                 1.0087,                0.94658,                 0.7778,                0.69728,                0.75143,                0.53359,                 1.5285,                0.99641,                0.96322,             0.00044946,             0.00044946,             0.00044946
                    122,                 1.5075,                 1.0156,                0.94677,                0.75011,                0.69006,                0.74079,                0.52642,                 1.5289,                 1.0111,                0.96386,             0.00044829,             0.00044829,             0.00044829
                    123,                  1.513,                 1.0025,                0.94792,                0.82475,                0.68341,                0.75595,                0.54105,                 1.5187,                0.99665,                0.96218,             0.00044713,             0.00044713,             0.00044713
                    124,                 1.5096,                0.99573,                0.94452,                0.78877,                0.70364,                 0.7598,                0.54606,                 1.5052,                0.97335,                0.95871,             0.00044596,             0.00044596,             0.00044596
                    125,                 1.4942,                0.98108,                0.94734,                0.81235,                0.69285,                0.76263,                 0.5416,                 1.5173,                0.99036,                 0.9621,              0.0004448,              0.0004448,              0.0004448
                    126,                 1.5094,                0.99089,                0.94731,                0.79501,                0.69997,                0.75976,                  0.538,                 1.5212,                0.97894,                0.96132,             0.00044363,             0.00044363,             0.00044363
                    127,                 1.5053,                0.98068,                0.94728,                0.80112,                 0.6905,                0.76487,                0.54268,                 1.5117,                0.97916,                0.95861,             0.00044247,             0.00044247,             0.00044247
                    128,                 1.4989,                0.97843,                0.94374,                0.79406,                0.69945,                0.75805,                0.53794,                 1.5162,                0.98292,                0.96315,             0.00044131,             0.00044131,             0.00044131
                    129,                 1.5065,                 0.9872,                0.94655,                0.82234,                0.68947,                0.76247,                0.54651,                 1.5089,                0.98084,                0.95856,             0.00044014,             0.00044014,             0.00044014
                    130,                 1.4988,                 1.0021,                0.94726,                 0.7823,                0.68595,                0.75061,                0.52821,                 1.5428,                 1.0004,                0.96438,             0.00043898,             0.00043898,             0.00043898
                    131,                 1.4871,                0.98137,                0.94665,                0.77707,                0.70828,                 0.7606,                0.54765,                 1.5011,                0.98438,                0.96045,             0.00043781,             0.00043781,             0.00043781
                    132,                 1.4797,                0.98131,                0.93905,                0.85201,                0.67682,                0.76942,                0.54803,                 1.5099,                0.98119,                 0.9604,             0.00043665,             0.00043665,             0.00043665
                    133,                 1.5061,                0.98813,                0.94282,                0.80594,                0.67718,                0.74447,                0.52655,                 1.5324,                0.99392,                0.96553,             0.00043548,             0.00043548,             0.00043548
                    134,                 1.4914,                0.97633,                 0.9449,                0.84346,                0.67676,                 0.7607,                0.55493,                 1.5011,                0.97531,                0.95559,             0.00043432,             0.00043432,             0.00043432
                    135,                 1.4747,                0.98414,                0.93918,                0.86535,                 0.6756,                0.76328,                0.55319,                 1.5052,                0.96992,                 0.9568,             0.00043316,             0.00043316,             0.00043316
                    136,                 1.4812,                0.97028,                0.94233,                0.83132,                 0.7048,                0.76567,                0.55445,                 1.5016,                0.96445,                0.95543,             0.00043199,             0.00043199,             0.00043199
                    137,                 1.5115,                0.99297,                0.94868,                0.82458,                0.69767,                0.77139,                0.54757,                 1.5167,                0.97856,                0.96533,             0.00043083,             0.00043083,             0.00043083
                    138,                 1.4901,                0.97492,                0.94401,                0.82553,                0.69957,                0.77372,                0.55584,                 1.4943,                0.95792,                0.95653,             0.00042966,             0.00042966,             0.00042966
                    139,                 1.4957,                0.97719,                0.94396,                0.79306,                0.71778,                0.77543,                0.55467,                 1.4946,                0.95727,                0.95308,              0.0004285,              0.0004285,              0.0004285
                    140,                  1.476,                 0.9719,                0.93998,                0.83635,                0.70049,                0.77889,                0.55909,                 1.4897,                0.95655,                0.95329,             0.00042733,             0.00042733,             0.00042733
                    141,                 1.4826,                 0.9657,                0.93816,                0.78291,                 0.7178,                0.76891,                0.55116,                  1.497,                0.96126,                0.95338,             0.00042617,             0.00042617,             0.00042617
                    142,                 1.4734,                0.96817,                0.93762,                0.80933,                0.71217,                0.77227,                0.55551,                  1.501,                0.96535,                0.95702,             0.00042501,             0.00042501,             0.00042501
                    143,                 1.4684,                0.96154,                0.93757,                0.77893,                0.70636,                0.76042,                0.54393,                 1.5004,                0.95307,                0.95585,             0.00042384,             0.00042384,             0.00042384
                    144,                 1.4718,                0.96212,                 0.9414,                0.83332,                0.70311,                0.77244,                 0.5608,                 1.4928,                0.94966,                0.95413,             0.00042268,             0.00042268,             0.00042268
                    145,                 1.4837,                0.96937,                0.94064,                0.84809,                0.69124,                0.76789,                 0.5527,                 1.4801,                0.94146,                0.95001,             0.00042151,             0.00042151,             0.00042151
                    146,                 1.4647,                 0.9545,                0.93988,                0.81696,                0.70316,                0.77373,                0.55101,                 1.5041,                0.96475,                0.95882,             0.00042035,             0.00042035,             0.00042035
                    147,                 1.4712,                0.95049,                0.93659,                0.81677,                0.69441,                 0.7697,                0.55696,                 1.4868,                0.94228,                0.95242,             0.00041919,             0.00041919,             0.00041919
                    148,                 1.4646,                0.95021,                0.93633,                0.86029,                 0.6932,                 0.7816,                0.55865,                 1.4895,                 0.9417,                0.95272,             0.00041802,             0.00041802,             0.00041802
                    149,                 1.4635,                 0.9442,                0.94272,                0.83036,                 0.7115,                 0.7773,                0.56065,                 1.4811,                0.93725,                 0.9491,             0.00041686,             0.00041686,             0.00041686
                    150,                 1.4686,                0.94291,                0.94109,                0.83127,                0.71523,                0.78233,                0.56547,                 1.4839,                  0.946,                 0.9506,             0.00041569,             0.00041569,             0.00041569
